7.2138,9.1351
10.431,19.61
10.179,25.225
10.458,14.846
12.283,24.617
12.502,12.828
12.205,19.734
12.598,21.985
12.287,26.577
12.755,17.44
12.724,15.093
13.115,9.8648
14.576,19.025
14.738,25.733
14.859,28.125
14.789,30.8
14.969,12.48
14.983,17.027
14.563,21.404
14.637,23.907
14.741,14.572
15.48,7.491
15.802,9.8732
17.03,20.526
17.054,22.961
16.821,32.064
16.791,18.426
17.196,25.112
17.151,27.52
17.045,11.694
17.199,13.771
17.411,16.114
17.071,29.913
17.974,9.1451
18.551,34.039
18.896,31.288
19.152,29.111
19.01,20.167
19.303,22.267
19.249,24.431
19.225,26.91
19.163,10.937
19.154,13.121
19.252,17.449
19.374,15.257
20.289,8.1458
20.963,35.616
21.042,33.028
21.177,26.163
21.091,30.728
21.504,16.743
21.25,19.119
21.669,21.46
21.689,28.297
21.374,23.726
21.735,10.092
21.765,12.301
21.666,14.739
22.298,6.0759
22.692,7.569
23.384,32.225
23.25,34.607
23.681,23.203
23.429,18.462
23.627,20.681
23.77,25.548
23.789,11.784
23.766,13.968
24.055,16.187
23.901,29.722
24.068,9.2253
23.756,27.8
24.8,6.7256
25.546,33.754
25.817,31.443
25.901,20.208
25.659,22.133
25.919,24.752
25.496,38.389
25.942,10.922
26.129,13.098
26.299,15.255
26.123,27.068
25.892,29.174
26.265,8.5892
25.975,17.673
27.259,5.8587
27.853,32.876
28.252,19.08
28.005,26.116
28.134,28.572
28.11,10.321
28.269,21.629
28.26,23.883
28.268,30.896
28.341,12.152
28.299,14.882
28.029,16.788
28.665,7.842
30.017,32.125
30.227,20.909
30.394,22.96
30.402,25.728
30.677,9.5689
30.387,11.869
30.498,18.787
30.578,16.336
30.249,27.799
30.311,29.682
30.462,14.037
31.308,7.0694
32.355,22.624
32.815,29.194
32.725,20.241
32.363,24.777
32.548,31.381
32.914,9.1298
32.754,10.938
32.843,13.232
32.548,27.307
32.73,15.629
32.654,17.735
33.457,7.1601
34.986,19.444
35.043,10.311
34.627,14.83
34.915,21.621
34.765,23.868
34.799,26.648
34.74,29.116
35.127,12.137
34.883,17.003
36.911,20.192
36.963,18.016
36.955,23.007
36.754,25.357
37.23,27.804
40.676,24.678
41.852,21.767
46.161,22.476
